ID,Work Item Type,Title,Assigned To,State,Tags
"609","Feature","Points Accural on Purchases",,"New",
"610","Feature","Rewards Redemption",,"New",
"611","Feature","Ratings for purchased items",,"New",
"612","Feature","Supplier Feedback",,"New",
"613","Feature","Shipping charges calculation",,"New",
"614","Feature","Delivery Options",,"New",
"615","Feature","Order cancellation",,"New",
"616","Feature","Order confirmation",,"New",
"617","Feature","Delivery confirmation",,"New",
"618","Feature","Customer notification",,"New",
"619","Feature","As marketeer, I want us to reuse the web assets for apps on Android and iOS with corporate branding, and I will want to be able to update the device apps with every marketing promotion. That will mean using Cordova.",,"New",
"620","Feature","Gift Options",,"New",
"621","Feature","Ad-hoc promotions",,"New",
"622","Feature","Customer issues",,"New",
"623","Feature","Ask for customer feedback",,"New",
"624","Feature","Product Recommendations",,"New",
"625","Feature","Product catalog changes",,"New",
"626","Feature","Credit Card Purchase",,"New",
"627","Feature","Ops needs the ability to quickly roll back to a known good state in the event of a critical problem in production.","nmunger109@outlook.com","Done",
"628","Feature","As an Ops guy, I want to ensure that the legacy MRP system configuration is consistent.","nmunger109@outlook.com","Done",
"629","Feature","As a business owner, I would like to know how much our historical spend is to help project future spend for budgeting + financials.","Juan Carlos Quijano Abad <jc_quijano@hotmail.com>","Done",
"630","Feature","As a marketeer i want our website to be performant and available around the world","craig109@outlook.com","Done",
"631","Product Backlog Item","Provide related items or frequently bought together section when people browse or search",,"New",
"632","Product Backlog Item","As tester, I need to test the website on all the relevant broswers and devices and be sure that it can handle our load.",,"New",
"633","Product Backlog Item","As a customer, I should be able to put items to shopping cart",,"New",
"634","Product Backlog Item","As a customer, I should be able to print my purchase order",,"New",
"635","Product Backlog Item","As a customer, I would like to have a sort capabaility by price and customer ratings",,"New",
"636","Product Backlog Item","Recommended products must be based on customer purchase pattern history",,"New",
"637","Product Backlog Item","As a customer, I would like to save my addresses so that I can easily select the address for delivery",,"New",
"638","Product Backlog Item","As marketer, I want to run an A|B test on alternative Web Sites using Application Insights.",,"New",
"639","Product Backlog Item","Provide customers the ability to track status of the package","ckelly109@outlook.com","Done",
"640","Product Backlog Item","As a customer, I would like to have the ability to send my items as gift","lsteel109@outlook.com","Done",
"641","Product Backlog Item","As a customer, I would like to store my credit card details securely",,"Committed",
"642","Product Backlog Item","As a customer, I should be able to select different shipping option",,"Committed",
